Time,CH A,
0.E+0,-6.793E-2,
5.0025E-7,1.207E-2,
1.0005E-6,-6.793E-2,
1.50075E-6,3.207E-2,
2.001E-6,-6.793E-2,
2.50125E-6,3.207E-2,
3.0015E-6,-4.793E-2,
3.50175E-6,3.207E-2,
4.002E-6,-6.793E-2,
4.50225E-6,1.207E-2,
5.0025E-6,-4.793E-2,
5.50275E-6,1.207E-2,
6.003E-6,-4.793E-2,
6.50325E-6,1.207E-2,
7.0035E-6,-6.793E-2,
7.50375E-6,1.207E-2,
8.004E-6,-4.793E-2,
8.50425E-6,1.207E-2,
9.0045E-6,-4.793E-2,
9.50475E-6,3.207E-2,
1.0005E-5,-4.793E-2,
1.05053E-5,1.207E-2,
1.10055E-5,-4.793E-2,
1.15058E-5,3.207E-2,
1.2006E-5,-4.793E-2,
1.25063E-5,3.207E-2,
1.30065E-5,-4.793E-2,
1.35068E-5,1.207E-2,
1.4007E-5,-6.793E-2,
1.45073E-5,1.207E-2,
1.50075E-5,-4.793E-2,
1.55078E-5,1.207E-2,
1.6008E-5,-4.793E-2,
1.65083E-5,1.207E-2,
1.70085E-5,-4.793E-2,
1.75088E-5,1.207E-2,
1.8009E-5,-4.793E-2,
1.85093E-5,1.207E-2,
1.90095E-5,-4.793E-2,
1.95098E-5,1.207E-2,
2.001E-5,-4.793E-2,
2.05103E-5,1.207E-2,
2.10105E-5,-6.793E-2,
2.15108E-5,1.207E-2,
2.2011E-5,-4.793E-2,
2.25113E-5,3.207E-2,
2.30115E-5,-4.793E-2,
2.35118E-5,1.207E-2,
2.4012E-5,-4.793E-2,
2.45123E-5,1.207E-2,
2.50125E-5,-4.793E-2,
2.55128E-5,3.207E-2,
2.6013E-5,-4.793E-2,
2.65133E-5,3.207E-2,
2.70135E-5,-4.793E-2,
2.75138E-5,3.207E-2,
2.8014E-5,-4.793E-2,
2.85143E-5,3.207E-2,
2.90145E-5,-6.793E-2,
2.95148E-5,3.207E-2,
3.0015E-5,-6.793E-2,
3.05153E-5,1.207E-2,
3.10155E-5,-6.793E-2,
3.15158E-5,1.207E-2,
3.2016E-5,-4.793E-2,
3.25163E-5,1.207E-2,
3.30165E-5,-4.793E-2,
3.35168E-5,1.207E-2,
3.4017E-5,-4.793E-2,
3.45173E-5,1.207E-2,
3.50175E-5,-4.793E-2,
3.55178E-5,1.207E-2,
3.6018E-5,-6.793E-2,
3.65183E-5,1.207E-2,
3.70185E-5,-6.793E-2,
3.75188E-5,1.207E-2,
3.8019E-5,-4.793E-2,
3.85193E-5,1.207E-2,
3.90195E-5,-6.793E-2,
3.95198E-5,1.207E-2,
4.002E-5,-6.793E-2,
4.05203E-5,3.207E-2,
4.10205E-5,-4.793E-2,
4.15208E-5,3.207E-2,
4.2021E-5,-4.793E-2,
4.25213E-5,3.207E-2,
4.30215E-5,-4.793E-2,
4.35218E-5,1.207E-2,
4.4022E-5,-4.793E-2,
4.45223E-5,1.207E-2,
4.50225E-5,-6.793E-2,
4.55228E-5,1.207E-2,
4.6023E-5,-4.793E-2,
4.65233E-5,1.207E-2,
4.70235E-5,-4.793E-2,
4.75238E-5,3.207E-2,
4.8024E-5,-4.793E-2,
4.85243E-5,1.207E-2,
4.90245E-5,-6.793E-2,
4.95248E-5,1.207E-2,
5.0025E-5,-6.793E-2,
5.05253E-5,1.207E-2,
5.10255E-5,-6.793E-2,
5.15258E-5,1.207E-2,
5.2026E-5,-4.793E-2,
5.25263E-5,1.207E-2,
5.30265E-5,-4.793E-2,
5.35268E-5,1.207E-2,
5.4027E-5,-4.793E-2,
5.45273E-5,1.207E-2,
5.50275E-5,-4.793E-2,
5.55278E-5,1.207E-2,
5.6028E-5,-4.793E-2,
5.65283E-5,1.207E-2,
5.70285E-5,-4.793E-2,
5.75288E-5,1.207E-2,
5.8029E-5,-4.793E-2,
5.85293E-5,1.207E-2,
5.90295E-5,-6.793E-2,
5.95298E-5,1.207E-2,
6.003E-5,-4.793E-2,
6.05303E-5,1.207E-2,
6.10305E-5,-6.793E-2,
6.15308E-5,1.207E-2,
6.2031E-5,-4.793E-2,
