Time,CH A,
0.E+0,-5.586E-2,
2.50125E-7,6.414E-2,
5.0025E-7,-5.586E-2,
7.50375E-7,6.414E-2,
1.0005E-6,-5.586E-2,
1.25063E-6,6.414E-2,
1.50075E-6,-9.586E-2,
1.75088E-6,6.414E-2,
2.001E-6,-5.586E-2,
2.25113E-6,6.414E-2,
2.50125E-6,-5.586E-2,
2.75138E-6,6.414E-2,
3.0015E-6,-5.586E-2,
3.25163E-6,6.414E-2,
3.50175E-6,-5.586E-2,
3.75188E-6,6.414E-2,
4.002E-6,-5.586E-2,
4.25213E-6,6.414E-2,
4.50225E-6,-5.586E-2,
4.75238E-6,6.414E-2,
5.0025E-6,-5.586E-2,
5.25263E-6,6.414E-2,
5.50275E-6,-9.586E-2,
5.75288E-6,6.414E-2,
6.003E-6,-5.586E-2,
6.25313E-6,6.414E-2,
6.50325E-6,-5.586E-2,
6.75338E-6,6.414E-2,
7.0035E-6,-5.586E-2,
7.25363E-6,6.414E-2,
7.50375E-6,-5.586E-2,
7.75388E-6,6.414E-2,
8.004E-6,-5.586E-2,
8.25413E-6,6.414E-2,
8.50425E-6,-5.586E-2,
8.75438E-6,6.414E-2,
9.0045E-6,-5.586E-2,
9.25463E-6,6.414E-2,
9.50475E-6,-5.586E-2,
9.75488E-6,6.414E-2,
1.0005E-5,-5.586E-2,
1.02551E-5,6.414E-2,
1.05053E-5,-9.586E-2,
1.07554E-5,6.414E-2,
1.10055E-5,-5.586E-2,
1.12556E-5,6.414E-2,
1.15058E-5,-5.586E-2,
1.17559E-5,6.414E-2,
1.2006E-5,-9.586E-2,
1.22561E-5,6.414E-2,
1.25063E-5,-5.586E-2,
1.27564E-5,6.414E-2,
1.30065E-5,-5.586E-2,
1.32566E-5,6.414E-2,
1.35068E-5,-5.586E-2,
1.37569E-5,6.414E-2,
1.4007E-5,-5.586E-2,
1.42571E-5,6.414E-2,
1.45073E-5,-5.586E-2,
1.47574E-5,6.414E-2,
1.50075E-5,-5.586E-2,
1.52576E-5,6.414E-2,
1.55078E-5,-5.586E-2,
1.57579E-5,6.414E-2,
1.6008E-5,-5.586E-2,
1.62581E-5,6.414E-2,
1.65083E-5,-5.586E-2,
1.67584E-5,6.414E-2,
1.70085E-5,-9.586E-2,
1.72586E-5,6.414E-2,
1.75088E-5,-9.586E-2,
1.77589E-5,6.414E-2,
1.8009E-5,-9.586E-2,
1.82591E-5,6.414E-2,
1.85093E-5,-9.586E-2,
1.87594E-5,6.414E-2,
1.90095E-5,-5.586E-2,
1.92596E-5,2.414E-2,
1.95098E-5,-9.586E-2,
1.97599E-5,2.414E-2,
2.001E-5,-9.586E-2,
2.02601E-5,6.414E-2,
