Time,CH A,
0.E+0,-1.1173E-2,
1.0005E-6,4.827E-3,
2.001E-6,-1.1173E-2,
3.0015E-6,1.2827E-2,
4.002E-6,-1.1173E-2,
5.0025E-6,4.827E-3,
6.003E-6,-1.1173E-2,
7.0035E-6,4.827E-3,
8.004E-6,-1.1173E-2,
9.0045E-6,1.2827E-2,
1.0005E-5,-3.173E-3,
1.10055E-5,2.0827E-2,
1.2006E-5,-1.1173E-2,
1.30065E-5,1.2827E-2,
1.4007E-5,-1.1173E-2,
1.50075E-5,1.2827E-2,
1.6008E-5,-1.1173E-2,
1.70085E-5,1.2827E-2,
1.8009E-5,-1.9173E-2,
1.90095E-5,4.827E-3,
2.001E-5,-1.1173E-2,
2.10105E-5,4.827E-3,
2.2011E-5,-1.1173E-2,
2.30115E-5,4.827E-3,
2.4012E-5,-1.1173E-2,
2.50125E-5,1.2827E-2,
2.6013E-5,-1.1173E-2,
2.70135E-5,1.2827E-2,
2.8014E-5,-1.1173E-2,
2.90145E-5,1.2827E-2,
3.0015E-5,-3.173E-3,
3.10155E-5,1.2827E-2,
3.2016E-5,-1.1173E-2,
3.30165E-5,1.2827E-2,
3.4017E-5,-1.1173E-2,
3.50175E-5,1.2827E-2,
3.6018E-5,-1.1173E-2,
3.70185E-5,4.827E-3,
3.8019E-5,-1.1173E-2,
3.90195E-5,4.827E-3,
4.002E-5,-1.1173E-2,
4.10205E-5,4.827E-3,
4.2021E-5,-1.1173E-2,
4.30215E-5,4.827E-3,
4.4022E-5,-1.1173E-2,
4.50225E-5,1.2827E-2,
4.6023E-5,-1.1173E-2,
4.70235E-5,1.2827E-2,
4.8024E-5,-1.1173E-2,
4.90245E-5,1.2827E-2,
5.0025E-5,-1.1173E-2,
5.10255E-5,1.2827E-2,
5.2026E-5,-3.173E-3,
5.30265E-5,1.2827E-2,
5.4027E-5,-1.1173E-2,
5.50275E-5,1.2827E-2,
5.6028E-5,-1.1173E-2,
5.70285E-5,1.2827E-2,
5.8029E-5,-1.1173E-2,
5.90295E-5,1.2827E-2,
6.003E-5,-1.9173E-2,
6.10305E-5,4.827E-3,
6.2031E-5,-1.1173E-2,
6.30315E-5,4.827E-3,
6.4032E-5,-1.1173E-2,
6.50325E-5,1.2827E-2,
6.6033E-5,-1.1173E-2,
6.70335E-5,1.2827E-2,
6.8034E-5,-1.1173E-2,
6.90345E-5,1.2827E-2,
7.0035E-5,-1.1173E-2,
7.10355E-5,1.2827E-2,
7.2036E-5,-3.173E-3,
7.30365E-5,1.2827E-2,
7.4037E-5,-1.1173E-2,
7.50375E-5,1.2827E-2,
7.6038E-5,-1.1173E-2,
7.70385E-5,1.2827E-2,
7.8039E-5,-1.1173E-2,
7.90395E-5,4.827E-3,
8.004E-5,-1.1173E-2,
8.10405E-5,4.827E-3,
8.2041E-5,-1.1173E-2,
8.30415E-5,4.827E-3,
8.4042E-5,-1.1173E-2,
8.50425E-5,1.2827E-2,
8.6043E-5,-1.1173E-2,
8.70435E-5,1.2827E-2,
8.8044E-5,-1.1173E-2,
8.90445E-5,1.2827E-2,
9.0045E-5,-1.1173E-2,
9.10455E-5,1.2827E-2,
9.2046E-5,-3.173E-3,
9.30465E-5,1.2827E-2,
9.4047E-5,-1.1173E-2,
9.50475E-5,1.2827E-2,
9.6048E-5,-1.1173E-2,
9.70485E-5,1.2827E-2,
9.8049E-5,-1.1173E-2,
9.90495E-5,1.2827E-2,
1.0005E-4,-1.1173E-2,
1.01051E-4,4.827E-3,
1.02051E-4,-1.9173E-2,
1.03052E-4,4.827E-3,
1.04052E-4,-1.9173E-2,
1.05053E-4,4.827E-3,
1.06053E-4,-1.1173E-2,
1.07054E-4,1.2827E-2,
1.08054E-4,-1.1173E-2,
1.09055E-4,1.2827E-2,
1.10055E-4,-1.1173E-2,
1.11056E-4,1.2827E-2,
1.12056E-4,-1.1173E-2,
1.13057E-4,1.2827E-2,
1.14057E-4,-3.173E-3,
1.15058E-4,1.2827E-2,
1.16058E-4,-1.1173E-2,
1.17059E-4,1.2827E-2,
1.18059E-4,-1.1173E-2,
1.1906E-4,4.827E-3,
1.2006E-4,-1.1173E-2,
1.21061E-4,4.827E-3,
1.22061E-4,-1.1173E-2,
1.23062E-4,4.827E-3,
1.24062E-4,-1.1173E-2,
1.25063E-4,1.2827E-2,
1.26063E-4,-1.1173E-2,
1.27064E-4,4.827E-3,
1.28064E-4,-1.1173E-2,
1.29065E-4,1.2827E-2,
1.30065E-4,-1.1173E-2,
1.31066E-4,1.2827E-2,
1.32066E-4,-1.1173E-2,
1.33067E-4,2.0827E-2,
1.34067E-4,-3.173E-3,
1.35068E-4,1.2827E-2,
1.36068E-4,-1.1173E-2,
1.37069E-4,1.2827E-2,
1.38069E-4,-1.1173E-2,
1.3907E-4,1.2827E-2,
1.4007E-4,-1.1173E-2,
1.41071E-4,1.2827E-2,
