Time,CH A,
0.E+0,-1.9173E-1,
1.0005E-7,4.827E-2,
2.001E-7,-1.9173E-1,
3.0015E-7,4.827E-2,
4.002E-7,-1.9173E-1,
5.0025E-7,4.827E-2,
6.003E-7,-1.9173E-1,
7.0035E-7,4.827E-2,
8.004E-7,-1.9173E-1,
9.0045E-7,4.827E-2,
1.0005E-6,-1.9173E-1,
1.10055E-6,4.827E-2,
1.2006E-6,-1.9173E-1,
1.30065E-6,1.2827E-1,
1.4007E-6,-1.9173E-1,
1.50075E-6,4.827E-2,
1.6008E-6,-1.9173E-1,
1.70085E-6,4.827E-2,
1.8009E-6,-1.1173E-1,
1.90095E-6,1.2827E-1,
2.001E-6,-1.1173E-1,
2.10105E-6,1.2827E-1,
2.2011E-6,-1.9173E-1,
2.30115E-6,4.827E-2,
2.4012E-6,-1.9173E-1,
2.50125E-6,4.827E-2,
2.6013E-6,-1.9173E-1,
2.70135E-6,4.827E-2,
2.8014E-6,-1.9173E-1,
2.90145E-6,4.827E-2,
3.0015E-6,-1.9173E-1,
3.10155E-6,4.827E-2,
3.2016E-6,-1.9173E-1,
3.30165E-6,4.827E-2,
3.4017E-6,-1.9173E-1,
3.50175E-6,4.827E-2,
3.6018E-6,-1.9173E-1,
3.70185E-6,4.827E-2,
3.8019E-6,-1.9173E-1,
3.90195E-6,4.827E-2,
4.002E-6,-1.9173E-1,
4.10205E-6,4.827E-2,
4.2021E-6,-1.1173E-1,
4.30215E-6,4.827E-2,
4.4022E-6,-1.1173E-1,
4.50225E-6,4.827E-2,
4.6023E-6,-1.9173E-1,
4.70235E-6,4.827E-2,
4.8024E-6,-1.9173E-1,
4.90245E-6,4.827E-2,
5.0025E-6,-1.9173E-1,
5.10255E-6,4.827E-2,
5.2026E-6,-1.9173E-1,
5.30265E-6,4.827E-2,
5.4027E-6,-1.9173E-1,
5.50275E-6,4.827E-2,
5.6028E-6,-1.9173E-1,
5.70285E-6,4.827E-2,
5.8029E-6,-1.1173E-1,
5.90295E-6,4.827E-2,
6.003E-6,-1.9173E-1,
6.10305E-6,4.827E-2,
6.2031E-6,-1.9173E-1,
6.30315E-6,4.827E-2,
6.4032E-6,-1.9173E-1,
6.50325E-6,4.827E-2,
6.6033E-6,-1.9173E-1,
6.70335E-6,4.827E-2,
6.8034E-6,-1.9173E-1,
6.90345E-6,1.2827E-1,
7.0035E-6,-1.9173E-1,
7.10355E-6,4.827E-2,
7.2036E-6,-1.9173E-1,
7.30365E-6,4.827E-2,
7.4037E-6,-1.9173E-1,
7.50375E-6,4.827E-2,
7.6038E-6,-1.9173E-1,
7.70385E-6,4.827E-2,
7.8039E-6,-1.9173E-1,
7.90395E-6,4.827E-2,
8.004E-6,-1.9173E-1,
8.10405E-6,4.827E-2,
8.2041E-6,-1.9173E-1,
8.30415E-6,4.827E-2,
8.4042E-6,-1.9173E-1,
8.50425E-6,4.827E-2,
8.6043E-6,-1.9173E-1,
8.70435E-6,4.827E-2,
8.8044E-6,-1.9173E-1,
8.90445E-6,1.2827E-1,
9.0045E-6,-1.9173E-1,
9.10455E-6,4.827E-2,
9.2046E-6,-1.9173E-1,
9.30465E-6,4.827E-2,
9.4047E-6,-1.1173E-1,
9.50475E-6,4.827E-2,
9.6048E-6,-1.9173E-1,
9.70485E-6,4.827E-2,
9.8049E-6,-1.1173E-1,
9.90495E-6,4.827E-2,
1.0005E-5,-1.9173E-1,
1.01051E-5,4.827E-2,
1.02051E-5,-1.9173E-1,
1.03052E-5,4.827E-2,
1.04052E-5,-1.9173E-1,
1.05053E-5,4.827E-2,
1.06053E-5,-1.9173E-1,
1.07054E-5,4.827E-2,
